"","state","naics","emp"
"962","Rhode Island","53",1850
"963","Rhode Island","54",35120
"964","Rhode Island","55",17280
"965","Rhode Island","56",7520
"966","Rhode Island","61",69480
"967","Rhode Island","62",124630
"968","Rhode Island","71",1290
"969","Rhode Island","72",23500
"970","Rhode Island","81",14580
"971","Rhode Island","99",22290
"972","South Carolina","21",250
"973","South Carolina","22",7510
"974","South Carolina","23",40180
"975","South Carolina","31",55090
"976","South Carolina","32",27990
"977","South Carolina","33",41790
"978","South Carolina","42",78810
"979","South Carolina","44",195560
"980","South Carolina","45",58230
"981","South Carolina","48",12240
"982","South Carolina","49",3000
"983","South Carolina","51",23790
"984","South Carolina","52",106980
"985","South Carolina","53",29260
"986","South Carolina","54",159150
"987","South Carolina","55",33180
"988","South Carolina","56",66170
"989","South Carolina","61",252520
"990","South Carolina","62",450850
"991","South Carolina","71",20810
"992","South Carolina","72",128670
"993","South Carolina","81",34260
"994","South Carolina","99",139660
"995","South Dakota","22",200
"996","South Dakota","23",3600
"997","South Dakota","31",6460
"998","South Dakota","32",1220
"999","South Dakota","33",3520
"1000","South Dakota","42",22560
"1001","South Dakota","44",40970
"1002","South Dakota","45",12050
"1003","South Dakota","48",1170
"1004","South Dakota","49",260
"1005","South Dakota","51",3950
"1006","South Dakota","52",28800
"1007","South Dakota","53",3160
"1008","South Dakota","54",21560
"1009","South Dakota","55",5760
"1010","South Dakota","56",5440
"1011","South Dakota","61",55560
"1012","South Dakota","62",113160
"1013","South Dakota","71",1100
"1014","South Dakota","72",11340
"1015","South Dakota","81",7570
"1016","South Dakota","99",27190
"1017","Tennessee","21",440
"1018","Tennessee","22",1070
"1019","Tennessee","23",45420
"1020","Tennessee","31",63720
"1021","Tennessee","32",27530
"1022","Tennessee","33",50260
"1023","Tennessee","42",113830
"1024","Tennessee","44",242110
"1025","Tennessee","45",82330
"1026","Tennessee","48",26600
"1027","Tennessee","49",8740
"1028","Tennessee","51",39480
"1029","Tennessee","52",144270
"1030","Tennessee","53",30740
"1031","Tennessee","54",179250
"1032","Tennessee","55",56880
"1033","Tennessee","56",98580
"1034","Tennessee","61",332800
"1035","Tennessee","62",749830
